GMDNR;GMDNAME;BZNR;KTNR;GRNR;AREA_HA;E_MIN;E_MAX;N_MIN;N_MAX;E_CNTR;N_CNTR;Z_MIN;Z_MAX;Z_AVG;Z_MED;Z_CNTR
7001;Vaduz;7000;70;70;1731;2755929;2764959;1217392;1229073;2758300;1223800;437;2150;992;750;624
7002;Triesen;7000;70;70;2648;2757484;2764441;1212998;1221351;2760600;1216700;456;2601;1320;1436;1681
7003;Balzers;7000;70;70;1973;2754427;2766627;1212924;1225977;2756900;1214900;466;2226;1121;1117;472
7004;Triesenberg;7000;70;70;2970;2758679;2766780;1216425;1226130;2761000;1221700;650;2365;1495;1501;1519
7005;Schaan;7000;70;70;2692;2755160;2765885;1214468;1229080;2756600;1226600;438;2569;1106;948;447
7006;Planken;7000;70;70;534;2758045;2763196;1225011;1228944;2760600;1227800;439;2122;1297;1310;1103
7007;Eschen;7000;70;70;1038;2755289;2762177;1228240;1233043;2759300;1229700;436;1659;545;447;445
7008;Mauren;7000;70;70;749;2758362;2762591;1229346;1233341;2760400;1231600;438;1599;611;474;439
7009;Gamprin;7000;70;70;619;2755614;2761142;1228411;1233476;2756400;1231000;433;1321;536;454;462
7010;Ruggell;7000;70;70;738;2756867;2760430;1232638;1237629;2758600;1235100;426;613;443;432;431
7011;Schellenberg;7000;70;70;356;2758257;2761160;1232489;1235661;2760400;1234100;429;698;552;576;645
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
