GMDNR;GMDNAME;SEE_HA;E_MIN;E_MAX;N_MIN;N_MAX;E_CNTR;N_CNTR
9040;Greifensee;822;2691665;2695946;1241896;1247739;2693800;1245200
9050;Zürichsee;8802;2682601;2714353;1227657;1247369;2690500;1235000
9073;Thunersee;4784;2614257;2630110;1167064;1177247;2621500;1171200
9089;Brienzersee;2976;2634122;2646709;1170863;1178693;2640600;1175000
9148;Bielersee / Lac de Bienne;3949;2572052;2584660;1209652;1220433;2578500;1213800
9151;Lac de Neuchâtel;21513;2538531;2570489;1181795;1206804;2555600;1194800
9157;Baldeggersee;522;2660948;2663534;1225507;1229925;2662200;1227900
9163;Sempachersee;1439;2651767;2657168;1218806;1224994;2654300;1221700
9172;Hallwilersee;1023;2657440;2660136;1233026;1241217;2658700;1237200
9175;Zugersee;3844;2676885;2682744;1212835;1226295;2681200;1215500
9179;Vierwaldstättersee;11385;2663950;2690388;1193693;1215056;2677100;1204000
9216;Sihlsee;1081;2700060;2704814;1215725;1223498;2702200;1220000
9239;Sarnersee;740;2657207;2661417;1188533;1193514;2659300;1190900
9267;Walensee;2411;2725905;2741408;1219384;1222315;2733600;1220500
9270;Aegerisee;728;2687238;2691412;1217452;1221450;2689500;1219600
9276;Lac de la Gruyère/Greyerzersee;856;2572489;2575712;1162473;1174243;2574100;1164200
9294;Murtensee/Lac de Morat;2272;2569130;2576815;1194885;1200816;2572800;1197700
9326;Bodensee;17813;2706676;2760037;1260624;1283007;2745400;1273900
9710;Lago di Lugano;3006;2710115;2722853;1084867;1097365;2716400;1088600
9711;Lago Maggiore;4116;2697273;2710905;1105881;1115229;2707400;1112900
9751;Lac de Joux;879;2508262;2515222;1162400;1169126;2511700;1165800
9757;Lac Léman;34506;2500391;2560957;1117793;1152255;2530600;1148200
9780;Lago di Como;0;0;0;0;0;0;0
